"id";"x";"y";"label";"color";"count"
"RU";2011;0,268176400476758;"RU";"lightblue";9
"IL";2015;0,219619326500732;"IL";"grey";9
"ES";2018;0,186721991701245;"ES";"lightblue";9
"FI";2020;0,153348100187425;"FI";"lightblue";9
"IL";2020;0,153348100187425;"IL";"grey";9
"IN";2018;0,186721991701245;"IN";"lightblue";9
"AU";2016;0,199556541019956;"AU";"lightblue";9
"IL";2010;0,321543408360129;"IL";"grey";8
"AU";2012;0,191662673694298;"AU";"lightblue";8
"IL";2016;0,177383592017738;"IL";"grey";8
"SE";2018;0,16597510373444;"SE";"lightorange";8
"IE";2008;0,394477317554241;"IE";"lightblue";8
"BE";2006;0,449185850645705;"BE";"lightblue";8
"MY";2015;0,195217179111762;"MY";"lightblue";8
"FI";2007;0,399400898652022;"FI";"lightblue";8
"SE";2009;0,347826086956522;"SE";"lightorange";8
"IL";2014;0,173611111111111;"IL";"grey";8
"IT";2021;0,27359781121751;"IT";"lightblue";8
"CN";2005;0,56617126680821;"CN";"orange";8
"HU";2012;0,191662673694298;"HU";"lightblue";8
"ES";2012;0,191662673694298;"ES";"lightblue";8
"DK";2011;0,208581644815256;"DK";"lightblue";7
"FI";2008;0,345167652859961;"FI";"lightblue";7
"AU";2005;0,495399858457183;"AU";"lightblue";7
"IE";2009;0,304347826086957;"IE";"lightblue";7
"ES";2017;0,152405834966253;"ES";"lightblue";7
"IL";2017;0,152405834966253;"IL";"grey";7
"MY";2021;0,239398084815321;"MY";"lightblue";7
"IL";2009;0,304347826086957;"IL";"grey";7
"CN";2004;0,677637947725073;"CN";"orange";7
"DK";2008;0,345167652859961;"DK";"lightblue";7
"AT";2005;0,495399858457183;"AT";"lightblue";7
"BE";2007;0,349475786320519;"BE";"lightblue";7
"IT";2004;0,677637947725073;"IT";"lightblue";7
"ES";2009;0,304347826086957;"ES";"lightblue";7
"SE";2019;0,129342202512934;"SE";"lightorange";7
"TR";2018;0,145228215767635;"TR";"lightblue";7
"MY";2013;0,166865315852205;"MY";"lightblue";7
"SA";2021;0,239398084815321;"SA";"lightblue";7
"ES";2011;0,208581644815256;"ES";"lightblue";7
"RU";2016;0,155210643015521;"RU";"lightblue";7
"BE";2011;0,178784266984505;"BE";"lightblue";6
"IN";2004;0,580832526621491;"IN";"lightblue";6
"SG";2006;0,336889387984278;"SG";"lightblue";6
"AU";2011;0,178784266984505;"AU";"lightblue";6
"SE";2015;0,146412884333821;"SE";"lightorange";6
"IN";2017;0,130633572828217;"IN";"lightblue";6
"IN";2019;0,110864745011086;"IN";"lightblue";6
"SE";2006;0,336889387984278;"SE";"lightorange";6
"FI";2004;0,580832526621491;"FI";"lightblue";6
"IL";2005;0,424628450106157;"IL";"grey";6
"SG";2007;0,299550673989016;"SG";"lightblue";6
"MY";2004;0,580832526621491;"MY";"lightblue";6
"AU";2009;0,260869565217391;"AU";"lightblue";6
"ZA";2009;0,260869565217391;"ZA";"lightblue";6
"DK";2010;0,241157556270096;"DK";"lightblue";6
"ES";2010;0,241157556270096;"ES";"lightblue";6
"IE";2004;0,580832526621491;"IE";"lightblue";6
"DK";2013;0,143027413587604;"DK";"lightblue";6
"IN";2009;0,260869565217391;"IN";"lightblue";6
"ES";2015;0,146412884333821;"ES";"lightblue";6
"PL";2014;0,130208333333333;"PL";"lightblue";6
"ES";2008;0,2465483234714;"ES";"lightblue";5
"IL";2008;0,2465483234714;"IL";"grey";5
"SA";2017;0,108861310690181;"SA";"lightblue";5
"RU";2017;0,108861310690181;"RU";"lightblue";5
"HU";2015;0,122010736944851;"HU";"lightblue";5
"IE";2015;0,122010736944851;"IE";"lightblue";5
"IL";2004;0,484027105517909;"IL";"grey";5
