"from";"to";"full";"share.from.full";"binary";"share.from.bin";"pc";"thmax";"thmaxpc";"expected";"untapped";"linkrca";"prio";"dutch.reg"
"NL22";"NL32";8;3,03;5;6,024;0,135612;56,5;0,0917863408928455;3,38416238871922;-1,61583761128078;1,47747047147236;"Protein transition and food technology";"east"
"NL22";"BE31";3;1,136;2;2,41;0,054245;50;0,0812268503476509;2,99483397231789;0,994833972317889;0,667816653105506;"Protein transition and food technology";"east"
"NL22";"NO05";1;0,379;1;1,205;0,027122;47,5;0,0771655078302684;2,845092273702;1,845092273702;0,351482449002898;"Protein transition and food technology";"east"
"NL21";"DK04";1;6,667;1;9,091;0,027122;31;0,0503606472155436;1,85679706283709;0,856797062837092;0,538561817020569;"Protein transition and food technology";"east"
"NL21";"NL22";8;53,333;4;36,364;0,108489;47;0,0763532393267919;2,81514393397882;-1,18485606602118;1,42088649596916;"Protein transition and food technology";"east"
"NL21";"NL31";2;13,333;2;18,182;0,054245;56,5;0,0917863408928455;3,38416238871922;1,38416238871922;0,590988188588943;"Protein transition and food technology";"east"
"NL21";"NL13";1;6,667;1;9,091;0,027122;9,5;0,0154331015660537;0,569018454740399;-0,430981545259601;1,75741224501449;"Protein transition and food technology";"east"
"NL21";"DK01";1;6,667;1;9,091;0,027122;46,5;0,0755409708233154;2,78519559425564;1,78519559425564;0,359041211347046;"Protein transition and food technology";"east"
"NL21";"NL21";1;6,667;1;9,091;0,027122;11;0,0178699070764832;0,658863473909936;-0,341136526090064;1,51776512069433;"Protein transition and food technology";"east"
"NL21";"NL32";1;6,667;1;9,091;0,027122;20,5;0,0333030086425369;1,22788192865033;0,227881928650335;0,81441055256769;"Protein transition and food technology";"east"
"NL21";"DEB3";1;1,724;1;10;0,008728;41,5;0,0142927499595326;1,63752036286365;0,637520362863647;0,610679428896524;"Innovaties voor preventie - Imaging";"east"
"NL21";"NL41";1;1,724;1;10;0,008728;905;0,311685270201855;35,7097814070265;34,7097814070265;0,0280035318223268;"Innovaties voor preventie - Imaging";"east"
"NL21";"NL42";2;3,448;1;10;0,008728;20,5;0,00706027407639561;0,808895600932645;-0,191104399067355;1,23625347801004;"Innovaties voor preventie - Imaging";"east"
"NL21";"NL21";42;72,414;5;50;0,043641;10;0,00344403613482713;0,394583219967144;-4,60541678003286;12,6715981496029;"Innovaties voor preventie - Imaging";"east"
"NL21";"NL22";9;15,517;1;10;0,008728;23;0,00792128311010239;0,907541405924431;-0,092458594075569;1,10187809996547;"Innovaties voor preventie - Imaging";"east"
"NL21";"NL31";3;5,172;1;10;0,008728;28;0,00964330117751596;1,104833015908;0,104833015908003;0,905114153543062;"Innovaties voor preventie - Imaging";"east"
"NL22";"AT13";2;2,778;1;2,778;0,008728;59,5;0,0204920150022214;2,34777015880451;1,34777015880451;0,425936072255558;"Innovaties voor preventie - Imaging";"east"
"NL22";"NL41";5;6,944;4;11,111;0,034913;918;0,31616251717713;36,2227395929838;32,2227395929838;0,110427870584774;"Innovaties voor preventie - Imaging";"east"
