"domain","from","from_geo","to","to_geo","full","full_frac","binary","binary_frac","parent"
"By-Product Valorization","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of the Basque Country (ES) -- 169108374","País Vasco (ES21)",1,0.0666666666666667,1,0.0666666666666667,"Industrial Loops"
"By-Product Valorization","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","Vienna Institute for International Economic Studies (AT) -- 4210148578","Wien (AT13)",1,1,1,1,"Industrial Loops"
"By-Product Valorization","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","West Pomeranian University of Technology (PL) -- 155313962","Zachodniopomorskie (PL42)",1,0.0128205128205128,1,0.0128205128205128,"Industrial Loops"
"By-Product Valorization","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Fraunhofer Institute for Reliability and Microintegration (DE) -- 4210134425","Berlin (DE30)",1,0.166666666666667,1,0.166666666666667,"Industrial Loops"
"By-Product Valorization","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Ghent University (BE) -- 32597200","Prov. Oost-Vlaanderen (BE23)",1,0.166666666666667,1,0.166666666666667,"Industrial Loops"
"By-Product Valorization","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Material (Belgium) (BE) -- 4210114297","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest (BE10)",1,0.166666666666667,1,0.166666666666667,"Industrial Loops"
"By-Product Valorization","Stenden University of Applied Sciences (NL) -- 36523846","Noord-Nederland (NL1)","Universitat Autònoma de Barcelona (ES) -- 123044942","Cataluña (ES51)",1,0.0666666666666667,1,0.0666666666666667,"Industrial Loops"
"By-Product Valorization","Stenden University of Applied Sciences (NL) -- 36523846","Noord-Nederland (NL1)","Universitat Politècnica de Catalunya (ES) -- 9617848","Cataluña (ES51)",1,0.0666666666666667,1,0.0666666666666667,"Industrial Loops"
"By-Product Valorization","Stenden University of Applied Sciences (NL) -- 36523846","Noord-Nederland (NL1)","University of Limerick (IE) -- 230495080","Southern and Eastern (IE02)",1,0.0666666666666667,1,0.0666666666666667,"Industrial Loops"
"By-Product Valorization","University Medical Center Groningen (NL) -- 1334415907","Noord-Nederland (NL1)","University Medical Center Utrecht (NL) -- 3018483916","Utrecht (NL31)",1,0.333333333333333,1,0.333333333333333,"Industrial Loops"
"By-Product Valorization","University Medical Center Groningen (NL) -- 1334415907","Noord-Nederland (NL1)","University of Chester (GB) -- 137265193","Cheshire (UKD6)",1,0.00952380952380952,1,0.00952380952380952,"Industrial Loops"
"By-Product Valorization","University Medical Center Groningen (NL) -- 1334415907","Noord-Nederland (NL1)","University of Milan (IT) -- 189158943","Lombardia (ITC4)",1,0.00952380952380952,1,0.00952380952380952,"Industrial Loops"
