"Region";"Technology";"Relatedness.Density";"Complexity";"RCA";"CPC";"X.Label..CPC.";"Relatedness.Density..CPC.";"RCA..CPC."
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F28G";"cleaning of internal or external surfaces of heat-";19,95;0,4
"NL4";"Transport";38,15;48,48;0,38;"B60B";"vehicle wheels; castors; axles for wheels or casto";12,71;0,22
"NL4";"Transport";38,15;48,48;0,38;"B60C";"vehicle tyres; tyre inflation; tyre changing; conn";37,79;0,11
"NL4";"Transport";38,15;48,48;0,38;"B60D";"vehicle connections";5,39;0
"NL4";"Transport";38,15;48,48;0,38;"B60F";"vehicles for use both on rail and on road; vehicle";6,9;0,59
"NL4";"Transport";38,15;48,48;0,38;"B60G";"vehicle suspension arrangements";4,84;0,31
"NL4";"Transport";38,15;48,48;0,38;"B60H";"arrangements or adaptations of heating, cooling, v";21,38;0,24
"NL4";"Transport";38,15;48,48;0,38;"B60J";"windows, windscreens, non-fixed roofs, doors, or s";11,29;2,86
"NL4";"Transport";38,15;48,48;0,38;"B60K";"arrangement or mounting of propulsion units or of ";12,15;0,12
"NL4";"Transport";38,15;48,48;0,38;"B60L";"propulsion of electrically-propelled vehicles; sup";16,76;0,18
"NL4";"Transport";38,15;48,48;0,38;"B60M";"power supply lines, or devices along rails, for el";21,23;0,22
"NL4";"Transport";38,15;48,48;0,38;"B60N";"vehicle passenger accommodation not otherwise prov";17,4;0,31
"NL4";"Transport";38,15;48,48;0,38;"B60P";"vehicles adapted for load transportation or to tra";20,53;0,35
"NL4";"Transport";38,15;48,48;0,38;"B60Q";"arrangement of signalling or lighting devices, the";48,79;0,56
"NL4";"Transport";38,15;48,48;0,38;"B60R";"vehicles, vehicle fittings, or vehicle parts, not ";24,95;0,29
"NL4";"Transport";38,15;48,48;0,38;"B60S";"servicing, cleaning, repairing, supporting, liftin";36,92;0,06
"NL4";"Transport";38,15;48,48;0,38;"B60T";"vehicle brake control systems or parts thereof; br";5,02;0,09
"NL4";"Transport";38,15;48,48;0,38;"B60W";"conjoint control of vehicle sub-units of different";12,63;0,19
"NL4";"Transport";38,15;48,48;0,38;"B61B";"railway systems; equipment therefor not otherwise ";25,07;0,47
"NL4";"Transport";38,15;48,48;0,38;"B61C";"locomotives; motor railcars";3,9;0
"NL4";"Transport";38,15;48,48;0,38;"B61D";"body details or kinds of railway vehicles";13,48;0,3
"NL4";"Transport";38,15;48,48;0,38;"B61F";"rail vehicle suspensions, e.g. underframes, bogies";11,84;0,8
"NL4";"Transport";38,15;48,48;0,38;"B61G";"couplings specially adapted for railway vehicles; ";0,47;0,34
"NL4";"Transport";38,15;48,48;0,38;"B61H";"brakes or other retarding apparatus peculiar to ra";4,97;0
"NL4";"Transport";38,15;48,48;0,38;"B61K";"other auxiliary equipment for railways ";9,45;1,67
"NL4";"Transport";38,15;48,48;0,38;"B61L";"guiding railway traffic; ensuring the safety of ra";34,4;0,3
"NL4";"Transport";38,15;48,48;0,38;"B62B";"hand-propelled vehicles, e.g. hand carts or peramb";13,19;1
"NL4";"Transport";38,15;48,48;0,38;"B62D";"motor vehicles; trailers";12,9;0,41
"NL4";"Transport";38,15;48,48;0,38;"B62H";"cycle stands; supports or holders for parking or s";6,14;0,89
"NL4";"Transport";38,15;48,48;0,38;"B62J";"cycle saddles or seats; accessories peculiar to cy";9,36;0,31
"NL4";"Transport";38,15;48,48;0,38;"B62K";"cycles; cycle frames; cycle steering devices; ride";6,49;0,22
"NL4";"Transport";38,15;48,48;0,38;"B62L";"brakes specially adapted for cycles";2,26;0
"NL4";"Transport";38,15;48,48;0,38;"B62M";"rider propulsion of wheeled vehicles or sledges; p";6,84;0,41
"NL4";"Transport";38,15;48,48;0,38;"B63B";"ships or other waterborne vessels; equipment for s";39,76;1,68
"NL4";"Transport";38,15;48,48;0,38;"B63C";"launching, hauling-out, or dry-docking of vessels;";49;0,62
"NL4";"Transport";38,15;48,48;0,38;"B63G";"offensive or defensive arrangements on vessels; mi";40,99;0
"NL4";"Transport";38,15;48,48;0,38;"B63H";"marine propulsion or steering";41,89;1,02
"NL4";"Transport";38,15;48,48;0,38;"B63J";"auxiliaries on vessels";45,6;3,44
"NL4";"Transport";38,15;48,48;0,38;"B64B";"lighter-than-air aircraft";31,61;0
"NL4";"Transport";38,15;48,48;0,38;"B64C";"aeroplanes; helicopters";9,88;0,04
"NL4";"Transport";38,15;48,48;0,38;"B64D";"equipment for fitting in or to aircraft; flying su";19,73;0,06
"NL4";"Transport";38,15;48,48;0,38;"B64F";"ground or aircraft-carrier-deck installations spec";14,41;0,37
"NL4";"Transport";38,15;48,48;0,38;"B64G";"cosmonautics; vehicles or equipment therefor ";16,79;0
