"prio";"reg";"from";"to";"binary.pat";"binary.pub";"NEW.binary.pub"
"3D-printing/additive productie";"south-nl";"NL33";"ES22";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"ES30";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"ES43";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"ES51";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"FI1B";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL33";"FI1D";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL33";"FR10";NA;4;4
"3D-printing/additive productie";"south-nl";"NL33";"FRB0";NA;4;4
"3D-printing/additive productie";"south-nl";"NL33";"FRE2";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"FRF1";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"FRF3";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"FRG0";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"FRH0";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"FRI1";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"FRJ2";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"FRK1";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"FRK2";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"FRL0";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"IE06";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"ITC1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"ITF4";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"ITH4";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"ITI1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"NL21";NA;3;3
"3D-printing/additive productie";"south-nl";"NL33";"NL22";NA;20;20
"3D-printing/additive productie";"south-nl";"NL33";"NL31";2;63;63
"3D-printing/additive productie";"south-nl";"NL33";"NL32";3;23;23
"3D-printing/additive productie";"south-nl";"NL33";"NL33";52;NA;NA
"3D-printing/additive productie";"south-nl";"NL33";"NL41";6;9;9
"3D-printing/additive productie";"south-nl";"NL33";"NO05";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"NO06";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"PL82";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"PT16";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"RO11";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"SE12";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"SE22";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"SK03";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"UKD6";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL33";"UKF1";4;NA;NA
"3D-printing/additive productie";"south-nl";"NL33";"UKG3";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL33";"UKI1";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL33";"UKI2";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL34";"BE21";2;NA;NA
"3D-printing/additive productie";"south-nl";"NL34";"DEA5";2;NA;NA
"3D-printing/additive productie";"south-nl";"NL34";"FR10";NA;1;1
"3D-printing/additive productie";"south-nl";"NL34";"FRF3";NA;1;1
