"from";"to";"prio";"reg";"binary.pat";"binary.pub"
"NL11";"CH05";"Life sciences - Biotechnology";"west-nl";NA;1
"NL11";"CH05";"Medtech/beeldvorming";"south-nl";NA;10
"NL11";"CH05";"NANO";"west-nl";NA;13
"NL11";"CH05";"Nano-medicine";"south-nl";NA;1
"NL11";"CH05";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;13
"NL11";"CH05";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;3
"NL11";"CH05";"Personalised/precision medicine";"south-nl";NA;2
"NL11";"CH05";"Robotics - Robots";"south-nl";NA;1
"NL11";"CH05";"Robotisering Chirurgie-opafstand";"south-nl";NA;1
"NL11";"CH06";"Artificial intelligence";"south-nl";NA;2
"NL11";"CH06";"Cybersecurity";"west-nl";NA;1
"NL11";"CH06";"Digitale veiligheid";"south-nl";NA;1
"NL11";"CH06";"NANO";"west-nl";NA;1
"NL11";"CH06";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;1
"NL11";"CH07";"Artificial intelligence";"south-nl";NA;14
"NL11";"CH07";"Augmented reality";"north-nl";NA;1
"NL11";"CH07";"Data technology";"north-nl";NA;3
"NL11";"CH07";"Imaging";"west-nl";NA;1
"NL11";"CH07";"Innovaties voor preventie - Imaging";"east-nl";NA;1
"NL11";"CH07";"Medtech/beeldvorming";"south-nl";NA;1
"NL11";"CY00";"Artificial intelligence";"south-nl";NA;1
"NL11";"CY00";"Augmented reality";"north-nl";NA;1
"NL11";"CY00";"CO2 vrije elektriciteit";"west-nl";NA;1
"NL11";"CY00";"Cybersecurity";"west-nl";NA;1
"NL11";"CY00";"Data technology";"north-nl";NA;3
"NL11";"CY00";"Digitale veiligheid";"south-nl";NA;1
"NL11";"CY00";"Water- en bodem-beheer";"south-nl";NA;1
"NL11";"CZ01";"Aerospace";"west-nl";NA;1
"NL11";"CZ01";"Artificial intelligence";"south-nl";NA;9
"NL11";"CZ01";"Carbon Capture";"south-nl";NA;1
"NL11";"CZ01";"CO2 vrije elektriciteit";"west-nl";NA;1
"NL11";"CZ01";"Cybersecurity";"west-nl";NA;2
"NL11";"CZ01";"Data technology";"north-nl";NA;7
"NL11";"CZ01";"Digitale veiligheid";"south-nl";NA;2
"NL11";"CZ01";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL11";"CZ01";"Hernieuwbare energie - Composieten";"south-nl";NA;2
"NL11";"CZ01";"Life sciences - Biotechnology";"west-nl";NA;1
