"id","x","y","parent","color"
"Water related adaptation technologies",2012,0.13,"Green transition","green"
"Green transports",2012,0.12,"Green transition","green"
"Greenhouse gas capture",2011,0.13,"Green transition","green"
"Greenhouse gas capture",2014,0.1,"Green transition","green"
"Greenhouse gas capture",2018,0.06,"Green transition","green"
"Smart grids",2016,0.08,"Digital transition","blue"
"Water related adaptation technologies",2013,0.11,"Green transition","green"
"Other energy storage",2015,0.08,"Green transition","green"
"Smart grids",2011,0.11,"Digital transition","blue"
"Water related adaptation technologies",2016,0.07,"Green transition","green"
"Greenhouse gas capture",2015,0.07,"Green transition","green"
"Other energy storage",2020,0.05,"Green transition","green"
"Other energy storage",2019,0.04,"Green transition","green"
"Other energy storage",2014,0.07,"Green transition","green"
"Other energy storage",2017,0.05,"Green transition","green"
"Smart grids",2019,0.04,"Digital transition","blue"
"Smart grids",2010,0.09,"Digital transition","blue"
"Water related adaptation technologies",2021,0.09,"Green transition","green"
"Wind energy",2012,0.08,"Green transition","green"
"Greenhouse gas capture",2019,0.03,"Green transition","green"
"Greenhouse gas capture",2017,0.04,"Green transition","green"
"Other energy storage",2013,0.06,"Green transition","green"
"Other energy storage",2010,0.07,"Green transition","green"
"Smart grids",2013,0.06,"Digital transition","blue"
"Water related adaptation technologies",2011,0.07,"Green transition","green"
"Greenhouse gas capture",2010,0.05,"Green transition","green"
"Greenhouse gas capture",2013,0.05,"Green transition","green"
"Nuclear energy",2015,0.04,"Green transition","green"
"Other energy storage",2018,0.03,"Green transition","green"
"Other energy storage",2011,0.05,"Green transition","green"
"Wind energy",2013,0.05,"Green transition","green"
"Wind energy",2010,0.05,"Green transition","green"
"Wind energy",2018,0.03,"Green transition","green"
"Efficient power & combustion",2017,0.02,"Green transition","green"
"Efficient power & combustion",2014,0.03,"Green transition","green"
"Efficient power & combustion",2013,0.03,"Green transition","green"
"Efficient power & combustion",2012,0.03,"Green transition","green"
"Geothermal energy",2019,0.02,"Green transition","green"
"Marine & hydro energy",2016,0.02,"Green transition","green"
"Marine & hydro energy",2013,0.03,"Green transition","green"
"Nuclear energy",2018,0.02,"Green transition","green"
"Other energy storage",2012,0.03,"Green transition","green"
"Smart grids",2021,0.04,"Digital transition","blue"
"Water related adaptation technologies",2010,0.04,"Green transition","green"
"Wind energy",2011,0.04,"Green transition","green"
"Wind energy",2014,0.03,"Green transition","green"
"Wind energy",2017,0.02,"Green transition","green"
"Efficient power & combustion",2021,0.02,"Green transition","green"
"Efficient power & combustion",2011,0.02,"Green transition","green"
"Efficient power & combustion",2010,0.02,"Green transition","green"
"Efficient power & combustion",2016,0.01,"Green transition","green"
"Geothermal energy",2013,0.02,"Green transition","green"
"Geothermal energy",2012,0.02,"Green transition","green"
"Green transports",2021,0.02,"Green transition","green"
"Greenhouse gas capture",2021,0.02,"Green transition","green"
"Marine & hydro energy",2018,0.01,"Green transition","green"
"Marine & hydro energy",2010,0.02,"Green transition","green"
"Marine & hydro energy",2014,0.01,"Green transition","green"
"Marine & hydro energy",2012,0.02,"Green transition","green"
"Nuclear energy",2010,0.02,"Green transition","green"
"Nuclear energy",2013,0.02,"Green transition","green"
"Nuclear energy",2014,0.01,"Green transition","green"
"Nuclear energy",2012,0.02,"Green transition","green"
"Nuclear energy",2017,0.01,"Green transition","green"
"Other energy storage",2021,0.02,"Green transition","green"
"Wind energy",2021,0.02,"Green transition","green"
"Wind energy",2019,0.01,"Green transition","green"
"Wind energy",2016,0.01,"Green transition","green"
"Wind energy",2015,0.01,"Green transition","green"
