"","to","from","domain","count","world_domain_total","from_domain_total","export_share","import_share","deviation","importer_total","import_share_2","parent","buyer_total","year","share","count_M","rca","color","id","value","period"
"75","Spain","Ukraine","Aerospace",20514,117868099471,34593620,"0.0293 %","7e-04 %",-0.0287,20514,7e-04,"Europe",2951999567,2024,0.0593,"$20.51k",0.02,"#951E1E","Spain",20514,2024
"76","Sri Lanka","Ukraine","Aerospace",34916,117868099471,34593620,"0.0293 %","0.0945 %",0.0652,34916,0.0945,"Asia",36941819,2024,0.1009,"$34.92k",3.22,"#3D843D","Sri Lanka",34916,2024
"77","Sweden","Ukraine","Aerospace",10672,117868099471,34593620,"0.0293 %","0.0021 %",-0.0272,10672,0.0021,"Europe",499979191,2024,0.0308,"$10.67k",0.07,"#9E3838","Sweden",10672,2024
"78","Switzerland","Ukraine","Aerospace",136450,117868099471,34593620,"0.0293 %","0.0113 %",-0.018,136450,0.0113,"Europe",1202545017,2024,0.3944,"$136.45k",0.39,"#B88484","Switzerland",136450,2024
"79","Thailand","Ukraine","Aerospace",1759,117868099471,34593620,"0.0293 %","3e-04 %",-0.0291,1759,3e-04,"Asia",657454718,2024,0.0051,"$1.76k",0.01,"#921515","Thailand",1759,2024
"80","The Netherlands","Ukraine","Aerospace",45036,117868099471,34593620,"0.0293 %","0.0029 %",-0.0265,45036,0.0029,"Europe",1554985559,2024,0.1302,"$45.04k",0.1,"#A24343","The Netherlands",45036,2024
"81","Tunisia","Ukraine","Aerospace",92,117868099471,34593620,"0.0293 %","0 %",-0.0293,92,0,"Africa",189605810,2024,3e-04,"$0.09k",0,"darkred","Tunisia",92,2024
"82","Turkiye","Ukraine","Aerospace",1258719,117868099471,34593620,"0.0293 %","0.1084 %",0.0791,1258719,0.1084,"Asia",1160897261,2024,3.6386,"$1.26M",3.69,"#347F34","Turkiye",1258719,2024
"83","Uganda","Ukraine","Aerospace",575055,117868099471,34593620,"0.0293 %","0.8841 %",0.8547,575055,0.8841,"Africa",65044785,2024,1.6623,"$575.06k",30.12,"#006400","Uganda",575055,2024
"84","United Arab Emirates","Ukraine","Aerospace",5859223,117868099471,34593620,"0.0293 %","0.4093 %",0.3799,5859223,0.4093,"Asia",1431669633,2024,16.9373,"$5.86M",13.94,"#006400","United Arab Emirates",5859223,2024
