Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Industries,Organization Description,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Series A - Leverage,https://www.crunchbase.com/funding_round/lvrg-series-a--6dfb835d,Leverage,https://www.crunchbase.com/organization/lvrg,Series A,3000000,USD,3000000,2023-07-14,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Data Visualization, Information Services, Information Technology, Productivity Tools, Supply Chain Management",Leverage delivers end-to-end supply chain management powered by artificial intelligence.,"East Asian Founded, East Asian Led","New York, New York, United States, North America",https://www.tryleverage.ai,$50M to $100M,9900000,USD,9900000,Early Stage Venture,4,Chicago Ventures,"Chicago Ventures, Florida Funders, Great Oaks Venture Capital, Las Olas Venture Capital, Mark Cuban, Remarkable Ventures, Tensility Venture Partners",1,7,"71,102"
Seed Round - Portkey AI,https://www.crunchbase.com/funding_round/portkey-seed--0c7d84d1,Portkey AI,https://www.crunchbase.com/organization/portkey,Seed,3000000,USD,3000000,2023-08-23,Seed,,,,Yes,"Apps, Artificial Intelligence (AI), Generative AI, Internet","Portkey enables businesses to design, deploy, maintain, and improve on their generative AI apps and features more quickly.",,"San Francisco, California, United States, North America",https://portkey-ai.us,$1M to $10M,3000000,USD,3000000,Seed,1,Lightspeed Venture Partners,"Flybridge, Lightspeed Venture Partners, sanjee sisodiya",2,3,"71,577"
Seed Round - SportsVisio,https://www.crunchbase.com/funding_round/sports-visio-seed--f5a2b206,SportsVisio,https://www.crunchbase.com/organization/sports-visio,Seed,3000000,USD,3000000,2023-08-10,Seed,,,,Yes,"Artificial Intelligence (AI), Computer Vision, Information Technology, Sports",SportsVisio develops a sports statistics platform that uses computer vision on sports video feeds to capture statistical information.,,"Manchester, New Hampshire, United States, North America",https://sportsvisio.com,$1M to $10M,6105000,USD,6105000,Seed,2,Sapphire Sport,Sapphire Sport,1,1,"79,983"
Post-IPO Equity - Ainos,https://www.crunchbase.com/funding_round/ainos-4628-post-ipo-equity--fe42e590,Ainos,https://www.crunchbase.com/organization/ainos-4628,Post-IPO Equity,3000000,USD,3000000,2023-09-25,,,,,Yes,"Artificial Intelligence (AI), Health Care, Medical Device, Pharmaceutical","Ainos is a medical technology company that provides low-dose interferon drug solutions, AI-powered medical devices and preventive medicine.",,"San Diego, California, United States, North America",https://www.ainos.com,$1M to $10M,12000000,USD,12000000,IPO,2,,The Lind Partners,,1,"81,291"
Seed Round - Sixty AI,https://www.crunchbase.com/funding_round/fasterbetter-inc-seed--b3034a23,Sixty AI,https://www.crunchbase.com/organization/fasterbetter-inc,Seed,3000000,USD,3000000,2023-06-27,Seed,,,,Yes,"Artificial Intelligence (AI), Productivity Tools",Take back your time and use it instead to turbo charge your network.,East Asian Led,"Portland, Oregon, United States, North America",https://sixty.app,$1M to $10M,3000000,USD,3000000,Seed,1,468 Capital,"468 Capital, Jonathan Siegel",1,2,"91,779"
Seed Round - BYO corp,https://www.crunchbase.com/funding_round/byo-corp-seed--67d53292,BYO corp,https://www.crunchbase.com/organization/byo-corp,Seed,3000000,USD,3000000,2024-01-17,Seed,,,,Yes,"Artificial Intelligence (AI), Machine Learning",BYO is creating a digital environment that promotes the interplay of human and artificial intelligence.,,,http://www.byo-x.ai/,,3000000,USD,3000000,Seed,1,,,,,"91,660"
Seed Round - Conundrm,https://www.crunchbase.com/funding_round/conundrm-seed--74077dd7,Conundrm,https://www.crunchbase.com/organization/conundrm,Seed,3000000,USD,3000000,2023-11-02,Seed,10000000,USD,10000000,Yes,"Analytics, Artificial Intelligence (AI), Predictive Analytics",Conundrm is a predictive BI Tool for organisations to transform their decision making using state-of-the-art mathematics and AI.,,"Prahran, Victoria, Australia, Oceania",https://www.conundrm.com,,3000000,USD,3000000,Seed,1,,,,,"100,531"
Seed Round - Brilliant Labs,https://www.crunchbase.com/funding_round/brilliant-labs-15c9-seed--2f6d2914,Brilliant Labs,https://www.crunchbase.com/organization/brilliant-labs-15c9,Seed,3000000,USD,3000000,2023-06-27,Seed,,,,Yes,"Artificial Intelligence (AI), Augmented Reality, Electronics, Generative AI, Information Technology",Brilliant Labs is a web for technology-based data transformation that offers services for digital and physical use.,,"Hong Kong, Hong Kong Island, Hong Kong, Asia",https://brilliant.xyz,$1M to $10M,6050000,USD,6050000,,4,Brendan Iribe,"Adam Cheyer, Brendan Iribe, Eric Migicovsky, Plug and Play",,4,"104,036"
Seed Round - Udao,https://www.crunchbase.com/funding_round/udao-seed--df2274eb,Udao,https://www.crunchbase.com/organization/udao,Seed,3000000,USD,3000000,2023-12-22,Seed,,,,Yes,"Artificial Intelligence (AI), Cryptocurrency, Education, Web3",Udao is creating a Web 3.0 AI-powered Platform for the talent economy.,,"Steinhausen, Zug, Switzerland, Europe",https://udao.org,,3000000,USD,3000000,Seed,1,,,,,"105,113"
Seed Round - Xscape Photonics,https://www.crunchbase.com/funding_round/xscape-photonics-seed--8b170d66,Xscape Photonics,https://www.crunchbase.com/organization/xscape-photonics,Seed,3000000,USD,3000000,2023-08-21,Seed,,,,Yes,"Artificial Intelligence (AI), Data Center, Information Technology, Semiconductor, Simulation",Xscape Photonics provides photonic chips for high-speed connections in high-performance computing systems and data centers.,,"New York, New York, United States, North America",https://www.xscapephotonics.com/,$1M to $10M,13000000,USD,13000000,Seed,2,,,,,"105,622"
Grant - Sensefinity,https://www.crunchbase.com/funding_round/sensefinity-grant--3dec6e30,Sensefinity,https://www.crunchbase.com/organization/sensefinity,Grant,3000000,USD,3000000,2023-09-01,,,,,No,"Analytics, Artificial Intelligence (AI), Blockchain, Delivery, Internet of Things, Logistics, Machine Learning, Supply Chain Management",Sensefinity is provides supply-chains using AI and Blockchain.,,"Berlin, Berlin, Germany, Europe",https://www.sensefinity.com,$1M to $10M,5310832,USD,5310832,Seed,8,,,,,"109,568"
Grant - Sensydia,https://www.crunchbase.com/funding_round/sensydia-corporation-grant--bdebc455,Sensydia,https://www.crunchbase.com/organization/sensydia-corporation,Grant,3000000,USD,3000000,2023-06-05,,,,,No,"Artificial Intelligence (AI), Health Care, Medical Device, Wearables, Wireless","Developer of a portable, point-of-care hemodynamic measurement system that uses proprietary sensor tech and machine learning to guide care.",,"Los Angeles, California, United States, North America",http://www.sensydia.com/,Less than $1M,20804449,USD,20804449,,5,"National Heart, Lung and Blood Institute","National Heart, Lung and Blood Institute",,1,"392,146"
Series A - RS21,https://www.crunchbase.com/funding_round/rs21-series-a--a707570a,RS21,https://www.crunchbase.com/organization/rs21,Series A,3000000,USD,3000000,2023-07-11,Early Stage Venture,,,,Yes,"Analytics, Artificial Intelligence (AI), Consulting, Data Visualization, Information Services, Information Technology, Software",RS21 is a rapidly growing data science and visualization company that empowers organizations to make data-driven decisions.,,"Albuquerque, New Mexico, United States, North America",http://rs21.io,$1M to $10M,3000000,USD,3000000,Early Stage Venture,1,Thayer Ventures,Thayer Ventures,1,1,"467,534"
Venture Round - Seek AI,https://www.crunchbase.com/funding_round/seek-ai-series-unknown--a791ea18,Seek AI,https://www.crunchbase.com/organization/seek-ai,Venture - Series Unknown,3000000,USD,3000000,2023-06-02,,,,,Yes,"Artificial Intelligence (AI), Business Intelligence, Machine Learning, Natural Language Processing",Seek AI provides an AI automation platform to generate and maintain code for answering ad-hoc data questions.,,"New York, New York, United States, North America",https://www.seekwhatmatters.com,$1M to $10M,10500000,USD,10500000,,3,,,,,"155,243"
Venture Round - Cambrian Intelligence,https://www.crunchbase.com/funding_round/cambrian-intelligence-series-unknown--d2c869fe,Cambrian Intelligence,https://www.crunchbase.com/organization/cambrian-intelligence,Venture - Series Unknown,2999998,USD,2999998,2023-09-21,,,,,Yes,"Artificial Intelligence (AI), Gaming, Hardware, Machine Learning, Robotics, Software",Cambrian Intelligence is building a teleoperation interface to intuitively control robots at a distance with hand.,,"London, England, United Kingdom, Europe",http://www.caint.io,,3804358,USD,3804358,,4,,,,,"100,589"
Seed Round - Connective,https://www.crunchbase.com/funding_round/connective-63d3-seed--d4ed5423,Connective,https://www.crunchbase.com/organization/connective-63d3,Seed,4000000000,KRW,2996835,2024-01-31,Seed,,,,Yes,"Artificial Intelligence (AI), Health Care, Robotics",Connective is a robotics company that develops artificial intelligence-based artificial joint surgery robots.,,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://connecteve.com,,4000000000,KRW,2996835,Seed,2,DSC Investment,"DSC Investment, Reventures, Schmidt, Stone Bridge Ventures",,4,"14,417"
Series A - Data Sutram,https://www.crunchbase.com/funding_round/data-sutram-series-a--57a704b2,Data Sutram,https://www.crunchbase.com/organization/data-sutram,Series A,249600000,INR,2996404,2023-09-26,Early Stage Venture,,,,Yes,"Analytics, Artificial Intelligence (AI), Data Integration, Data Visualization, Information Technology, Machine Learning, SaaS",Answers on Smart Growth,,"Kolkata, West Bengal, India, Asia",https://www.datasutram.com/,$1M to $10M,5299514,USD,5299514,Early Stage Venture,5,Bharat Innovation Fund,"Bharat Innovation Fund, IIFL Finance, White Venture Capital, Yatra Angel Network",1,4,"50,980"
Seed Round - GridMatrix,https://www.crunchbase.com/funding_round/gridmatrix-seed--d1275b0a,GridMatrix,https://www.crunchbase.com/organization/gridmatrix,Seed,2993336,USD,2993336,2024-05-02,Seed,,,,Yes,"Artificial Intelligence (AI), Autonomous Vehicles, Internet of Things, Logistics, Machine Learning","GridMatrix is equipping cities with AI-powered software for intelligent traffic congestion, accident, and emissions reduction.",,"San Francisco, California, United States, North America",https://www.gridmatrix.com,$1M to $10M,6493336,USD,6493336,Seed,3,,,,,"48,831"
Seed Round - Clearbrief,https://www.crunchbase.com/funding_round/clearbrief-ai-seed--fe63fd56,Clearbrief,https://www.crunchbase.com/organization/clearbrief-ai,Seed,2987311,USD,2987311,2024-03-14,Seed,,,,Yes,"Artificial Intelligence (AI), Document Management, GovTech, InsurTech, Legal Tech",Clearbrief is a legal technology startup that is revolutionizing the legal writing process and the justice system.,"Women Founded, Women Led","Seattle, Washington, United States, North America",https://clearbrief.com,$1M to $10M,6487311,USD,6487311,Seed,2,,,,,"56,928"
Pre Seed Round - eComID,https://www.crunchbase.com/funding_round/ecomid-pre-seed--32c2970c,eComID,https://www.crunchbase.com/organization/ecomid,Pre-Seed,2750000,EUR,2984893,2024-03-04,Seed,,,,Yes,"Artificial Intelligence (AI), E-Commerce, Fashion, Machine Learning, Retail Technology, Software, Sustainability","eComID empowers global online retailers to reduce product returns, and shoppers to enjoy elevated shopping experiences.",,"Stockholm, Stockholms Lan, Sweden, Europe",https://ecomid.com/,,2750000,EUR,2984893,Seed,2,CapitalT,"Anaheta von Berenberg-Consbruch, CapitalT, H&M Group Ventures, Madeleine Persson",3,4,"12,071"
Corporate Round - Pasabi,https://www.crunchbase.com/funding_round/pasabi-corporate-round--a4a3874f,Pasabi,https://www.crunchbase.com/organization/pasabi,Corporate Round,2400000,GBP,2983765,2023-06-05,,,,,Yes,"Artificial Intelligence (AI), Consumer Reviews, Cyber Security, E-Commerce, Retail Technology, Social Media, Software",AI technology solutions to detect and prevent the proliferation of counterfeit goods and fake reviews online.,,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",http://www.pasabi.com/,$1M to $10M,2400000,GBP,2983765,,5,VeUP,VeUP,,1,"305,824"
Seed Round - Fero,https://www.crunchbase.com/funding_round/fero-payment-science-seed--da8a906c,Fero,https://www.crunchbase.com/organization/fero-payment-science,Seed,2800000,EUR,2972399,2023-11-02,Seed,,,,Yes,"Artificial Intelligence (AI), Financial Services, FinTech, Payments",Fero uses predictive AI to customize the payment process and pathway uniquely for every individual customer.,,"Amsterdam, Noord-Holland, The Netherlands, Europe",https://fero.com,,2900000,EUR,3080378,Seed,2,Coatue,"Antler, Coatue, Volta Ventures",2,3,"28,558"
Seed Round - Hello World,https://www.crunchbase.com/funding_round/hello-world-7217-seed--c8f70fe9,Hello World,https://www.crunchbase.com/organization/hello-world-7217,Seed,2952981,USD,2952981,2024-03-18,Seed,,,,Yes,"Artificial Intelligence (AI), Computer, Consumer Electronics, CRM, E-Learning, Education, Information Technology, Software, Tutoring","Hello World is a computer science enrichment program taught by software engineers, AI architects, data scientists.","Women Founded, Women Led","Austin, Texas, United States, North America",https://www.helloworldcs.org/,$50M to $100M,2952981,USD,2952981,Seed,1,,,,,"56,284"
Series A - talent and assessment,https://www.crunchbase.com/funding_round/talent-and-assessment-series-a--bb88e179,talent and assessment,https://www.crunchbase.com/organization/talent-and-assessment,Series A,431680000,JPY,2929842,2024-01-30,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Career Planning, Human Resources, Recruiting",talent and assessment is a company based on Career Planning,,"Tokyo, Tokyo, Japan, Asia",https://www.taleasse.co.jp,$1M to $10M,796280000,JPY,6272041,Early Stage Venture,5,Carbon Ventures,"Carbon Ventures, Hokuriku Regional Venture Fund, Mitani Sangyo, QR Investment, The Hokkoku Bank",1,5,"16,358"
Post-IPO Equity - Treatment.com,https://www.crunchbase.com/funding_round/treatment-com-post-ipo-equity--2d2e5b6e,Treatment.com,https://www.crunchbase.com/organization/treatment-com,Post-IPO Equity,2908200,USD,2908200,2024-03-14,,,,,Yes,"Artificial Intelligence (AI), Health Care, Machine Learning, Mobile Apps",Treatment.com is a healthcare technology startup that uses AI to improve health through personalized recommendations and insights.,,"Vancouver, British Columbia, Canada, North America",https://treatment.com,Less than $1M,8165181,USD,8165181,IPO,3,,,,,"40,277"
Pre Seed Round - Astrus,https://www.crunchbase.com/funding_round/astrus-pre-seed--b2dc3e47,Astrus,https://www.crunchbase.com/organization/astrus,Pre-Seed,2900000,USD,2900000,2023-10-17,Seed,,,,Yes,"Artificial Intelligence (AI), Semiconductor, Software",AI to automate microchip design,,"Toronto, Ontario, Canada, North America",https://www.astrus.ai,$1M to $10M,3140000,USD,3140000,Seed,2,"Alumni Ventures, Khosla Ventures","Alumni Ventures, Drive Capital, HOF Capital, Khosla Ventures, MVP Ventures, Plug and Play, RiSC Capital",6,7,"14,149"
Seed Round - Pioneer,https://www.crunchbase.com/funding_round/pioneer-716a-seed--a1121fbd,Pioneer,https://www.crunchbase.com/organization/pioneer-716a,Seed,2900000,USD,2900000,2023-11-09,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology","Pioneer operates a team of experts using AI to win grants, contracts, loans, and proposals.",,"San Francisco, California, United States, North America",https://www.pioneerclimate.com/,,2900000,USD,2900000,Seed,1,Blue Bear Capital,"Blue Bear Capital, Collaborative Fund, Cool Climate Collective, Kayan Ventures, Soma Capital",1,5,"18,040"
Seed Round - Deasie,https://www.crunchbase.com/funding_round/deasie-seed--fa7bb41b,Deasie,https://www.crunchbase.com/organization/deasie,Seed,2900000,USD,2900000,2023-10-12,Seed,,,,Yes,"Artificial Intelligence (AI), Security, Software",Deasie is a startup that creates tools to give businesses more control over text-generating AI models.,,"San Francisco, California, United States, North America",https://deasie.com/,,3400000,USD,3400000,Seed,2,,"General Catalyst, J12, Rebel Fund, RTP Global, Y Combinator",1,5,"30,638"
Post-IPO Equity - Railtown AI Technologies,https://www.crunchbase.com/funding_round/railtown-ai-post-ipo-equity--39ffccf9,Railtown AI Technologies,https://www.crunchbase.com/organization/railtown-ai,Post-IPO Equity,2899550,USD,2899550,2024-01-31,,,,,Yes,"Artificial Intelligence (AI), Machine Learning, Software","An all in one AI Assistant for building, deploying, debugging and managing software applications .",,"Vancouver, British Columbia, Canada, North America",https://www.railtown.ai,,2899550,USD,2899550,IPO,1,,,,,"13,719"
Venture Round - Smartbreeder,https://www.crunchbase.com/funding_round/smartbreeder-series-unknown--ce8cca10,Smartbreeder,https://www.crunchbase.com/organization/smartbreeder,Venture - Series Unknown,15000000,BRL,2886892,2024-05-01,,,,,Yes,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Predictive Analytics, Sustainability",Smartbreeder is a digital agronomic intelligence company that promotes sustainable agriculture.,,"Piracicaba, Sao Paulo, Brazil, South America",http://www.smartbreeder.com.br,Less than $1M,20000000,BRL,4408730,,2,EcoEnterprises Fund,EcoEnterprises Fund,1,1,"23,620"
Seed Round - ALBA Robot,https://www.crunchbase.com/funding_round/alba-robot-seed--8fb0e355,ALBA Robot,https://www.crunchbase.com/organization/alba-robot,Seed,2636000,EUR,2877572,2023-06-24,Seed,,,,Yes,"Artificial Intelligence (AI), Autonomous Vehicles, Internet, Internet of Things, Medical Device","ALBA Robot, and end to end mobility solution for silver economy",,"Torino, Piemonte, Italy, Europe",https://www.alba-robot.com/,$1M to $10M,9146201,USD,9146201,,12,Cysero,"CDP Venture Capital, Cysero, Techstars",,3,"104,128"
Seed Round - Völur,https://www.crunchbase.com/funding_round/völur-seed--bf75a88a,Völur,https://www.crunchbase.com/organization/völur,Seed,2850000,USD,2850000,2024-04-04,Seed,,,,Yes,"Artificial Intelligence (AI), Food Processing, Machine Learning",Völur is an AI-based technology company that optimizes the cutting and processing of sustainable meat.,,"Oslo, Oslo, Norway, Europe",https://volur.no/,,7014705,USD,7014705,Seed,5,,"Fusion Fund, Idekapital, Serra Ventures, York IE",,4,"16,449"
Seed Round - RESONIKS,https://www.crunchbase.com/funding_round/supplyz-5f0e-seed--4f91c094,RESONIKS,https://www.crunchbase.com/organization/supplyz-5f0e,Seed,2650000,EUR,2834613,2023-11-07,Seed,,,,Yes,"Artificial Intelligence (AI), Industrial Manufacturing, Manufacturing, Quality Assurance, Software","RESONIKS' AI acoustic sensor solution finds defects, boosts efficiency & cuts inspection costs for metal manufacturers",,"The Hague, Zuid-Holland, The Netherlands, Europe",http://resoniks.com,,2650000,EUR,2834613,Seed,2,Kvanted Ventures,"EIT Manufacturing, Faber, Kvanted Ventures",3,3,"11,811"
Pre Seed Round - Fifth Dimension AI,https://www.crunchbase.com/funding_round/fifth-dimension-ai-pre-seed--715b4e50,Fifth Dimension AI,https://www.crunchbase.com/organization/fifth-dimension-ai,Pre-Seed,2300000,GBP,2832530,2023-10-11,Seed,,,,Yes,"Artificial Intelligence (AI), Content Marketing, Digital Marketing",Fifth Dimension AI is a research and marketing teams looking to speed up their daily work.,,"London, England, United Kingdom, Europe",https://www.fifthdimensionai.com/,,2300000,GBP,2832530,Seed,1,"Female Innovators Lab Fund, Seedcamp","Ascension, Concrete Venture Capital, Female Innovators Lab Fund, Love Ventures, Seedcamp, Sie Ventures, Twin Path Ventures",,7,"20,761"
Seed Round - Hurray,https://www.crunchbase.com/funding_round/hurray-f202-seed--7244aea6,Hurray,https://www.crunchbase.com/organization/hurray-f202,Seed,20000000,CNY,2815276,2024-01-30,Seed,,,,Yes,"Artificial Intelligence (AI), Internet, Internet of Things","Hurray is a communication and information technology business that integrates technologies like the Internet of Things, big data, and AI.",,"Guangzhou, Guangdong, China, Asia",,,20000000,CNY,2815276,Seed,1,Raystone Capital,Raystone Capital,1,1,"19,363"
Seed Round - Brix,https://www.crunchbase.com/funding_round/brix-26df-seed--7aa5b9cb,Brix,https://www.crunchbase.com/organization/brix-26df,Seed,20000000,CNY,2807963,2024-02-04,Seed,,,,Yes,"Artificial Intelligence (AI), Online Portals, Recruiting",Brix is an AI-based platform that offers online recruiting services and solutions.,,"Costa Mesa, California, United States, North America",https://joinbrix.com,$1M to $10M,20000000,CNY,2807963,Seed,2,Frees Fund,"Frees Fund, Plug and Play China",,2,"18,994"
Seed Round - CharacterX,https://www.crunchbase.com/funding_round/characterx-seed--56ce2323,CharacterX,https://www.crunchbase.com/organization/characterx,Seed,2800000,USD,2800000,2024-01-11,Seed,27200000,USD,27200000,Yes,"3D Technology, Artificial Intelligence (AI), Blockchain",CharacterX is a Stanford-led decentralized synthetic social network.,,"Singapore, Central Region, Singapore, Asia",https://characterx-ai.xyz,,2800000,USD,2800000,Seed,1,"Google, INCE Capital, Lightspeed Venture Partners, Samsung Electronics, Spark Digital Capital","84000LP, CGV FoF, Fan Zhang, Google, GRI, INCE Capital, Lightspeed Venture Partners, Mask Network, Samsung Electronics, Spark Digital Capital, Web3Port, ZC Capital",1,12,"7,120"
Seed Round - Apriora,https://www.crunchbase.com/funding_round/apriora-seed--5d9ca436,Apriora,https://www.crunchbase.com/organization/apriora,Seed,2800000,USD,2800000,2024-05-15,Seed,,,,Yes,"Artificial Intelligence (AI), B2B, Generative AI, Human Resources, Information Technology, Internet, Recruiting",Apriora offers faster and better hires with the help of AI interviewer.,,"San Francisco, California, United States, North America",https://www.apriora.ai,,3300000,USD,3300000,Seed,2,1984 Ventures,"1984 Ventures, HOF Capital, Pioneer Fund, Y Combinator",1,4,"11,787"
Seed Round - Cobionix,https://www.crunchbase.com/funding_round/cobionix-seed--92a64504,Cobionix,https://www.crunchbase.com/organization/cobionix,Seed,2800000,USD,2800000,2023-06-21,Seed,,,,Yes,"Artificial Intelligence (AI), Machinery Manufacturing, Manufacturing, Robotics",Cobionix is a robotics startup tackling the labor shortage crisis facing healthcare providers.,,"Kitchener, Ontario, Canada, North America",https://www.cobionix.com,$1M to $10M,2800000,USD,2800000,Seed,1,,"Communitech, Velocity, Xinhao Investment",,3,"25,016"
Seed Round - AwesomeQA,https://www.crunchbase.com/funding_round/awesomeqa-seed--a4e98d7a,AwesomeQA,https://www.crunchbase.com/organization/awesomeqa,Seed,2800000,USD,2800000,2023-07-11,Seed,,,,Yes,"Artificial Intelligence (AI), Customer Service, Software, Web3","An AI bot that provides direct answers to community questions on Discord, Telegram, and websites.",,"Mühldorf Am Inn, Bayern, Germany, Europe",https://home.awesomeqa.xyz/,,2800000,USD,2800000,Seed,1,North Island Ventures,"Christopher May, Coinbase Ventures, Collab+Currency, Hasu Mr, Jose H., Lorey Ventures, North Island Ventures, Possible Ventures, Robot Ventures, Stepan Simkin, Uniswap",2,11,"103,226"
Seed Round - Browse AI,https://www.crunchbase.com/funding_round/browse-ai-seed--3444622f,Browse AI,https://www.crunchbase.com/organization/browse-ai,Seed,2800000,USD,2800000,2023-07-01,Seed,,,,Yes,"Artificial Intelligence (AI), Cloud Computing, Data Integration, Marketing Automation, Sales Automation, Software","Browse AI is the easiest way for prosumers, startups, and SMBs to extract and monitor data from websites.",,"Vancouver, British Columbia, Canada, North America",https://browse.ai,$1M to $10M,3260000,USD,3260000,Seed,4,,"Alpine Venture Capital, AltaIR Capital, Arash Ferdowsi, Banana Capital, Concept Ventures, Creator Ventures, Evan Moore, Goodwater Capital, Immad Akhund, Interface Capital, Singularity Capital",7,11,"109,566"
Seed Round - Scheduler AI,https://www.crunchbase.com/funding_round/get-together-ai-seed--a1cac567,Scheduler AI,https://www.crunchbase.com/organization/get-together-ai,Seed,2791656,USD,2791656,2024-04-02,Seed,,,,Yes,"Artificial Intelligence (AI), Messaging, Software","Scheduler AI's patented, Chat AI Scheduling™ technology streamlines scheduling by integrating directly into popular messaging applications.",Women Founded,"Cincinnati, Ohio, United States, North America",https://www.scheduler.ai,,3791656,USD,3791656,Seed,2,Drive Capital,"Drive Capital, Mark Phillips",2,2,"10,164"
Debt Financing - Enterprise Bot,https://www.crunchbase.com/funding_round/enterprise-bot-debt-financing--f40bfbfb,Enterprise Bot,https://www.crunchbase.com/organization/enterprise-bot,Debt Financing,2500000,CHF,2787690,2023-06-23,,,,,No,"Artificial Intelligence (AI), Enterprise Software, Machine Learning",The conversational process automation company serving large enterprises globally,,"Adliswil, Zurich, Switzerland, Europe",http://www.enterprisebot.ai/,$10M to $50M,2530000,CHF,2818096,Early Stage Venture,8,UBS,"FiveT Fintech (formerly Avaloq Ventures), SICTIC, UBS",,3,"245,720"
Seed Round - Adaion,https://www.crunchbase.com/funding_round/adaion-seed--bf471b4b,Adaion,https://www.crunchbase.com/organization/adaion,Seed,2600000,EUR,2759622,2023-10-30,Seed,,,,Yes,"Artificial Intelligence (AI), Cloud Data Services, Information Technology",Adaion develops a solution to aid grid operators in the energy transition by utilizing cutting-edge technology.,,"Churriana De La Vega, Andalucia, Spain, Europe",https://www.adaion.energy,,2600000,EUR,2759622,Seed,1,Investing Profit Wisely,"Fondo Bolsa Social, Investing Profit Wisely",2,2,"37,458"
Seed Round - LivNSense Technologies,https://www.crunchbase.com/funding_round/livnsense-technologies-seed--3b05f9d8,LivNSense Technologies,https://www.crunchbase.com/organization/livnsense-technologies,Seed,2750000,USD,2750000,2023-12-27,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, Internet of Things",LivNSense Technologies provides industrial IoT & AI Platform.,,"Bengaluru, Karnataka, India, Asia",https://livnsense.com/,,2750000,USD,2750000,Seed,2,Pavestone Capital,Pavestone Capital,1,1,"23,371"
Seed Round - Daash Intelligence,https://www.crunchbase.com/funding_round/daash-intelligence-seed--fd5253a7,Daash Intelligence,https://www.crunchbase.com/organization/daash-intelligence,Seed,2750000,USD,2750000,2023-10-03,Seed,,,,Yes,"Artificial Intelligence (AI), Web Development","Daash Intelligence believes that commerce intelligence is no longer a luxury for consumer brand owners, but rather a mission-critical asset.",,"Miami, Florida, United States, North America",https://www.daash.co,$1M to $10M,2750000,USD,2750000,Seed,1,"New Stack Ventures, Silicon Road Ventures","New Stack Ventures, Open Sky Ventures, Red Bike Capital, Silicon Road Ventures, Willow Growth Partners",1,5,"29,475"
Seed Round - Lex,https://www.crunchbase.com/funding_round/lex-eeee-seed--01c4aa4e,Lex,https://www.crunchbase.com/organization/lex-eeee,Seed,2750000,USD,2750000,2023-08-23,Seed,,,,Yes,"Artificial Intelligence (AI), Software",Lex is a modern writing tool that helps people think through their ideas and communicate more effectively.,,"Los Angeles, California, United States, North America",https://lex.page/,,2750000,USD,2750000,Seed,1,True Ventures,True Ventures,1,1,"58,280"
Seed Round - Gradient Health,https://www.crunchbase.com/funding_round/gradient-health-inc-seed--fd030bf2,Gradient Health,https://www.crunchbase.com/organization/gradient-health-inc,Seed,2750000,USD,2750000,2023-06-20,Seed,,,,Yes,"Artificial Intelligence (AI), Health Care, Medical, Wellness",Gradient Health develops an open research platform that offers AI-based medical imaging diagnostics and infrastructure.,,"Durham, North Carolina, United States, North America",https://gradienthealth.io,Less than $1M,5700000,USD,5700000,Seed,4,ReMY Investors & Consultants,"Boro Capital, David Golan, MedMountain Ventures, ReMY Investors & Consultants, Silicon Valley Social Venture Capital, Supernode Ventures, Triangle Tweener Fund, VentureSouth, Wavemaker 360",3,9,"99,785"
Pre Seed Round - Danti,https://www.crunchbase.com/funding_round/danti-97f2-pre-seed--7ce53a70,Danti,https://www.crunchbase.com/organization/danti-97f2,Pre-Seed,2750000,USD,2750000,2023-06-21,Seed,,,,Yes,"Artificial Intelligence (AI), Drone Management, Geospatial, Information Technology, Internet",Search engine for all of Earth's data,,"Atlanta, Georgia, United States, North America",https://danti.ai,$1M to $10M,7825000,USD,7825000,Seed,3,Tech Square Ventures,"Jeff Crusey, Jordan Noone, Keith Masback, Overline, Philip Krim, Radius Capital, Raven One Ventures, Space.VC, Tareytown Ventures, Tech Square Ventures",,10,"361,278"
Series B - eClear,https://www.crunchbase.com/funding_round/eclear-series-b--7e92c9c7,eClear,https://www.crunchbase.com/organization/eclear,Series B,2500000,EUR,2748337,2023-12-14,Early Stage Venture,157500000,EUR,173145230,Yes,"Accounting, Artificial Intelligence (AI), Financial Services, Payments, Tax Preparation","eClear uses AI for VAT and customs compliance, providing seamless cross-border solutions.",,"Berlin, Berlin, Germany, Europe",https://eclear.com,$1M to $10M,43000000,EUR,46299748,Early Stage Venture,7,,,,,"96,730"
