"id";"value";"share";"ctry"
"Industry-University Cooperation Foundation Hanyang";1;0,04;"KR"
"Verderg Pipe Technology Limited";1;0,04;"UK"
"Wagner Spray Tech Corporation";1;0,04;"US"
"Bae Systems Information And Electronic Systems Integration Inc";1;0,04;"US"
"Mtu Aero Engines Ag";1;0,04;"DE"
"Industry Academic Cooperation Foundation Keimyung University";1;0,04;"KR"
"Daeyoung Co Ltd";1;0,04;"KR"
"Imperial College Innovations Limited";1;0,04;"UK"
"Benarx Solutions As";1;0,04;"NO"
"Anycasting Software Co Ltd";1;0,04;"KR"
"Perras Theodore J";1;0,04;"US"
"Brooks Brandon";1;0,04;"US"
"Hao Paul";1;0,04;"US"
"Kiessner Hanko";1;0,04;"US"
"Slovencik Jean-Marc";1;0,04;"DE"
"Hagestedt Lukas";1;0,04;"DE"
"Qingyuan Global Technology Services Ltd";1;0,04;"CN"
"Tenneco (Suzhou) Emission System Co Ltd";1;0,04;"CN"
"Bently Nevada Llc";1;0,04;"US"
"Cummins Ltd";1;0,04;"UK"
"Dp Technology Corp";1;0,04;"US"
"Salimi Amirhossein";1;0,04;"US"
"Larson Scott";1;0,04;"US"
"Tpi Composites Inc";1;0,04;"US"
"Universita' Degli Studi Di Firenze";1;0,04;"IT"
"Nidec Motor Corporation";1;0,04;"US"
"Luo Can";1;0,04;"CN"
"China Construction Steel Structure Corp Ltd";1;0,04;"CN"
"Apriori Inc";1;0,04;"US"
"Stibe Modul Ab";1;0,04;"SE"
"The Hong Kong University Of Science And Technology";1;0,04;"HK"
"Hitachi Construction Machinery Co Ltd";1;0,04;"JP"
"Bond High Performance 3d Technology Bv";1;0,04;"NL"
"Baudisch Patrick";1;0,04;"US"
"Huensystem Co Ltd";1;0,04;"KR"
"Miki Pulley Co Ltd";1;0,04;"JP"
"National University Corporation Kobe University";1;0,04;"JP"
"Xi'an Jiaotong University";1;0,04;"CN"
"Dalian Minzu University";1;0,04;"CN"
"Institute Of Science And Technology Austria";1;0,04;"AT"
"China Agriculture University";1;0,04;"CN"
"Komatsu Industries Corporation";1;0,04;"JP"
"Xuzhou Zhirun Mining Equipment Science And Technol";1;0,04;"CN"
"Hangzhou Yougongpin Technology Co Ltd";1;0,04;"CN"
"Advanced Solutions Life Sciences Llc";1;0,04;"US"
"Limited Liability Company 'Laboratoriya Buduschego'";1;0,04;"RU"
"Changsoft I&I";1;0,04;"KR"
"Blade Diagnostics Corporation";1;0,04;"US"
"Esko Software Bvba";1;0,04;"BE"
"Sew-Eurodrive Gmbh&Co Kg";1;0,04;"DE"
"Ecole Nationale Travaux Publics De L'etat";1;0,04;"FR"
"Ecole Nationale D'ingã©Nieurs De Saint-Etienne";1;0,04;"FR"
"Lawrence Livermore National Security Llc";1;0,04;"US"
"Chong Chee-Keong";1;0,04;"US"
"Li Zhi";1;0,04;"US"
"Tang Sheng-Der";1;0,04;"US"
"Wang Jingmei";1;0,04;"CN"
"Wu Yunfei";1;0,04;"US"
"Yang Lei";1;0,04;"US"
"He Xueqin";1;0,04;"CN"
"Formlabs Inc";1;0,04;"US"
"Lego A/S";1;0,04;"DK"
"Xiangtan University";1;0,04;"CN"
"China Nuclear Power Technology Research Institute";1;0,04;"CN"
