"id","id2","x","y","color","parent","size"
"Dolnośląskie",208,16.3981,-51.1335,"lightpink","PL",1
"Opolskie",209,17.8679,-50.5961,"lightpink","PL",1
"Kujawsko-Pomorskie",210,18.4749,-53.1067,"lightpink","PL",1
"Warmińsko-Mazurskie",211,20.9566,-53.8258,"lightpink","PL",1
"Pomorskie",212,18.1579,-54.2907,"lightpink","PL",1
"Norte",213,-7.6278,-41.3796,"tan","PT",1
"Algarve",214,-8.2267,-37.2368,"tan","PT",1
"Centro (PT)",215,-7.9818,-40.1319,"tan","PT",1
"Lisboa",216,-9.003,-38.5709,"tan","PT",1
"Alentejo",217,-7.922,-38.3711,"tan","PT",1
"Nord-Vest",218,23.3181,-47.2414,"snow","RO",1
"Centru",219,24.5906,-46.318,"snow","RO",1
"Nord-Est",220,26.7782,-47.0985,"snow","RO",1
"Sud-Est",221,27.9897,-45.0529,"snow","RO",1
"Sud - Muntenia",222,25.2854,-44.5092,"snow","RO",1
"Bucureşti - Ilfov",223,26.1645,-44.4991,"snow","RO",1
"Sud-Vest Oltenia",224,23.5208,-44.6755,"snow","RO",1
"Vest",225,21.9137,-45.6339,"snow","RO",1
"Stockholm",226,18.0874,-59.1829,"orangered","SE",1
"Östra Mellansverige",227,15.7491,-59.1989,"orangered","SE",1
"Småland med öarna",228,14.888,-57.2473,"orangered","SE",1
"Sydsverige",229,13.7695,-56.0518,"orangered","SE",1
"Västsverige",230,12.8655,-57.7214,"orangered","SE",1
"Norra Mellansverige",231,14.5698,-60.9125,"orangered","SE",1
"Mellersta Norrland",232,15.1742,-63.1955,"orangered","SE",1
"Övre Norrland",233,19.4958,-66.4389,"orangered","SE",1
"Vzhodna Slovenija",234,15.244,-46.1613,"salmon","SI",1
"Zahodna Slovenija",235,14.239,-46.154,"salmon","SI",1
"Bratislavský kraj",236,17.1825,-48.2942,"navy","SK",1
"Západné Slovensko",237,18.0173,-48.4504,"navy","SK",1
"Stredné Slovensko",238,19.3886,-48.801,"navy","SK",1
"Východné Slovensko",239,21.1879,-48.9857,"navy","SK",1
