"id","parent","value","color","share"
"University Of Pittsburgh- Of The Commonwealth System Of Higher Education (US)","Biotechnology",1,"lightorange",0.01
"Once Innovations Inc (US)","Green buildings",3,"darkorange",0.02
"Signify North America Corporation (US)","Green buildings",4,"darkorange",0.03
"Massachusetts Institute Of Technology (US)","Biotechnology",15,"lightorange",0.11
"Menarini Silicon Biosystems Spa (IT)","Biotechnology",1,"lightorange",0.01
"Senecio Ltd (IL)","Autonomous vehicles",2,"cyan",0.02
"The University Of Queensland (AU)","Biotechnology",2,"lightorange",0.02
"Hexima Limited (AU)","Biotechnology",2,"lightorange",0.02
"La Trobe University (AU)","Biotechnology",1,"lightorange",0.01
"Plf Agritech Pty Ltd (AU)","Augmented reality",1,"navyblue",0.01
"Agriculture Victoria Services Pty Ltd (AU)","Biofuels",1,"brown",0.01
"Agriculture Victoria Services Pty Ltd (AU)","Biotechnology",14,"lightorange",0.11
"Cotton Research And Development Corporation (AU)","Biotechnology",1,"lightorange",0.01
"The Crown In Right Of The State Of New South Wales Acting Through The Department Of Primary (AU)","Biotechnology",1,"lightorange",0.01
"Agriculture Victoria Services Pty Limited (AU)","Advanced Sustainable Materials",1,"orange",0.01
"Agriculture Victoria Services Pty Limited (AU)","Biotechnology",1,"lightorange",0.01
"Hesvit Health Tech Co Ltd (CN)","Augmented reality",1,"navyblue",0.01
"Positec Power Tools (Suzhou) Co Ltd (CN)","Water related adaptation technologies",3,"indigo",0.02
"Shanghai Normal University (CN)","Biotechnology",2,"lightorange",0.02
"Hitachi Koki Co Ltd (JP)","Autonomous vehicles",1,"cyan",0.01
"Thuvander Peter (SE)","Waste management",1,"blue",0.01
"Thuvander Peter (SE)","Biofuels",1,"brown",0.01
"Thuvander Peter (SE)","Recycling technologies",1,"darkgreen",0.01
"Thuvander Peter (SE)","Biotechnology",1,"lightorange",0.01
"The Climate Corporation (US)","Cybersecurity",2,"yellow",0.02
"Recombinetics Inc (US)","Biotechnology",10,"lightorange",0.08
"Csiro (AU)","Biotechnology",1,"lightorange",0.01
"The Gsi Group Llc (US)","Artificial intelligence",1,"black",0.01
"Universit„§T Regensburg (DE)","Air & Water pollution reduction",1,"grey",0.01
"Universit„§Tsklinikum Regensburg (DE)","Air & Water pollution reduction",1,"grey",0.01
"Universidad P„∫blica De Navarra (ES)","Waste management",1,"blue",0.01
"Consejo Superior De Investigaciones Cient„≠ficas (ES)","Waste management",1,"blue",0.01
"Timac Agro Espa„ëa Sa (ES)","Waste management",1,"blue",0.01
"Universidad P„∫blica De Navarra (ES)","Biotechnology",1,"lightorange",0.01
"Timac Agro Espa„ëa Sa (ES)","Biotechnology",1,"lightorange",0.01
"Rohm And Haas Company (US)","Air & Water pollution reduction",1,"grey",0.01
